A162,Airbus,190,10-14-2006,1996,34
E868,Embraer,27,09-24-2008,1986,37
B591,Boeing,31,08-08-2016,2005,40
B716,Boeing,174,04-20-2013,1900,32
A964,Airbus,18,12-11-2010,2016,40
L908,Lockheed,17,06-19-2005,1956,31
E749,Embraer,90,07-22-2008,2010,38
A245,Airbus,61,04-29-2005,1913,39
L959,Lockheed,98,07-15-2016,1912,33
A762,Airbus,97,01-17-2008,2006,34
E653,Embraer,142,09-08-2006,1980,35
E023,Embraer,146,12-03-2011,1991,32
E706,Embraer,193,04-09-2007,1995,35
L607,Lockheed,189,12-02-2001,1911,37
L942,Lockheed,107,06-30-2005,1965,31
L479,Lockheed,79,10-27-2002,1993,37
B050,Boeing,76,11-04-2009,1943,37
B939,Boeing,78,01-26-2014,1963,34
E694,Embraer,167,04-10-2002,1989,35
A766,Airbus,146,12-26-2003,1957,31
E692,Embraer,127,03-12-2008,1938,32
A505,Airbus,123,03-19-2013,1965,40
L079,Lockheed,83,04-28-2012,1984,36
E349,Embraer,119,03-14-2003,1951,40
E527,Embraer,69,05-02-2010,1960,36
A257,Airbus,126,06-16-2000,1930,38
B315,Boeing,115,01-10-2012,1964,37
B492,Boeing,26,01-14-2000,2012,31
B572,Boeing,117,06-20-2011,1955,38
A850,Airbus,200,07-30-2008,1980,31
