LAX,SEA,57,942,338
DEN,SEA,60,942,215
FLL,SEA,55,534,179
FLL,DTW,53,529,370
ATL,FLL,53,979,488
SFO,DCA,56,716,373
LAS,BOS,59,576,108
BWI,MCO,60,983,387
ATL,DEN,60,758,434
ORD,PHX,51,580,253
LGA,FLL,53,771,125
PIT,SEA,52,747,427
DCA,PHL,56,628,254
ATL,DTW,53,678,431
SEA,FLL,55,799,446
SEA,LAX,53,666,314
DFW,PIT,52,616,115
DCA,ORD,55,974,213
DTW,LAX,57,848,169
ORD,BOS,51,844,389
DFW,JFK,51,533,150
PHX,BOS,51,639,289
SEA,DEN,60,584,122
LAX,FLL,56,845,217
LGA,DEN,53,572,377
PIT,FLL,60,699,401
EWR,FLL,53,680,458
SEA,DFW,52,796,258
MCO,DCA,60,631,222
DCA,MCO,60,607,336
EWR,PHL,54,659,261
BOS,ORD,51,859,474
SFO,EWR,54,682,323
FLL,LGA,53,896,382
DEN,LGA,53,772,214
SEA,PIT,55,518,176
MSP,MSP,60,788,284
MCO,BWI,60,621,446
DTW,ATL,52,799,185
BOS,SEA,59,554,271
LAX,DTW,57,503,337
SEA,LAS,59,804,481
SEA,DTW,57,958,363
PIT,EWR,52,869,184
IAH,DFW,60,759,137
EWR,BWI,53,848,229
DTW,FLL,53,727,216
BWI,LAX,56,887,137
FLL,BWI,51,500,483
PHX,ORD,60,597,179
ORD,BWI,60,864,124
FLL,EWR,53,604,147
MSP,SEA,59,806,496
MCO,ORD,60,730,305
PIT,DFW,52,740,105
FLL,PIT,52,989,301
LAS,SEA,59,804,328
PHL,EWR,60,630,212
BWI,ORD,60,939,383
MCO,LAS,54,690,195
PHL,SFO,56,655,313
MSP,PHX,60,937,428
DEN,ATL,60,859,339
EWR,SFO,54,542,239
ATL,SEA,55,920,168
DCA,SFO,56,509,327
FLL,MSP,55,526,429
MSP,FLL,55,819,307
SEA,MSP,55,778,198
DTW,SEA,57,552,103
PHX,MSP,60,621,483
IAH,JFK,51,902,396
SEA,BOS,59,550,138
LAS,MCO,54,905,444
FLL,LAX,56,849,234
ORD,MCO,60,974,303
JFK,IAH,51,832,383
DFW,SEA,52,925,482
SEA,MCO,54,905,469
ORD,DCA,60,938,350
PHL,DCA,53,804,256
BWI,EWR,53,539,162
DEN,FLL,53,634,396
MCO,SEA,59,534,142
LAX,BWI,56,959,147
SFO,PHL,56,707,305
BOS,LAS,58,863,367
JFK,DFW,51,790,451
SEA,ATL,60,998,263
DFW,IAH,51,901,478
FLL,DEN,53,583,328
FLL,ATL,53,612,270
BWI,FLL,53,940,464
BOS,PHX,51,929,416
EWR,PIT,52,912,470
