E947,Embraer,100,09/03/2011,2004,28
A266,Airbus,178,05/16/2005,1949,30
B477,Boeing,17,08/01/2003,1956,30
B073,Boeing,132,07/09/2002,1928,28
A394,Airbus,134,06/29/2000,2008,23
A704,Airbus,37,06/17/2009,1902,28
E728,Embraer,16,07/02/2000,1958,25
E526,Embraer,70,01/26/2010,2012,22
A716,Airbus,12,06/24/2000,1996,26
E359,Embraer,13,04/01/2001,1931,21
E671,Embraer,166,03/15/2000,2012,26
E048,Embraer,48,09/02/2003,2006,25
L848,Lockheed,123,06/26/2004,1952,21
B394,Boeing,34,01/18/2003,1947,25
B392,Boeing,98,12/30/2010,1947,30
B467,Boeing,149,11/02/2011,1942,21
E096,Embraer,67,02/28/2003,2002,21
L132,Lockheed,126,08/17/2007,1939,24
B992,Boeing,78,04/01/2012,1927,29
A835,Airbus,57,04/24/2006,2012,23
L549,Lockheed,59,02/16/2000,1997,27
L860,Lockheed,196,04/18/2008,1918,23
L843,Lockheed,67,11/29/2003,2013,30
A623,Airbus,192,04/03/2002,1978,26
A304,Airbus,133,05/22/2007,2005,29
L010,Lockheed,35,06/13/2003,1975,27
A277,Airbus,183,07/19/2014,1967,27
B464,Boeing,125,09/05/2007,2004,27
E237,Embraer,147,07/29/2006,1902,23
B798,Boeing,56,08/03/2008,1945,27
