MIA,EWR,35,619,381
LAX,SEA,31,863,471
PIT,BOS,37,963,286
BWI,LAS,34,559,452
EWR,PHX,31,720,324
ORD,PIT,40,632,245
LAX,JFK,31,815,209
PHL,DTW,31,686,369
PHX,ATL,36,894,473
LAX,SFO,31,651,485
ATL,PHX,36,667,192
LGA,JFK,35,756,391
IAH,EWR,31,918,137
BWI,MCO,31,607,492
ORD,PHX,31,793,431
ORD,EWR,35,844,436
DCA,FLL,39,581,380
LAS,IAH,35,657,388
LGA,PIT,34,913,389
PIT,SEA,32,738,112
MSP,ATL,36,942,391
PHL,SEA,40,522,232
PHX,LAX,31,688,433
SEA,LAX,31,806,271
DTW,MSP,31,663,126
ORD,BOS,40,511,137
DTW,PHL,31,765,149
SEA,SFO,32,839,238
LAS,SFO,34,893,232
EWR,ORD,35,533,108
SEA,LGA,34,537,198
PIT,ORD,40,819,340
BWI,PIT,40,521,311
BOS,ORD,40,989,425
LAS,BWI,39,515,104
SEA,PIT,32,965,408
MIA,ORD,35,866,444
MCO,BWI,31,693,155
SFO,JFK,31,689,409
SFO,SEA,40,630,495
ORD,ATL,37,622,269
SEA,BWI,32,833,430
PIT,LGA,34,622,199
LAS,MCO,35,969,197
EWR,BWI,40,789,479
IAH,PHX,31,977,390
MSP,DTW,31,548,249
MSP,PHL,31,927,480
PHX,ORD,37,650,163
SFO,LAS,34,717,458
ORD,MIA,35,549,484
SFO,BWI,34,884,342
IAH,MCO,35,606,366
MIA,DTW,31,566,249
JFK,LAX,31,776,343
FLL,PIT,39,838,369
PIT,DCA,39,508,295
MCO,LAS,40,586,378
PHL,SFO,40,522,226
MSP,PHX,36,814,153
LGA,BWI,35,901,311
BWI,LGA,35,583,367
JFK,SFO,31,640,404
JFK,LGA,35,931,427
PHX,EWR,31,636,320
LAX,PHX,34,971,214
EWR,MIA,35,948,246
DTW,MIA,31,948,359
ATL,MSP,34,896,351
IAH,LAS,35,575,208
SEA,SEA,33,502,431
MCO,EWR,31,542,419
PIT,BWI,32,643,235
LGA,SEA,36,762,372
PHX,MSP,36,517,215
MCO,IAH,35,839,382
ATL,ORD,37,766,305
PIT,FLL,35,814,278
BWI,SEA,32,612,422
FLL,DCA,39,900,240
PHL,MSP,31,524,313
EWR,IAH,36,921,132
PHX,IAH,31,978,207
EWR,MCO,31,990,484
SEA,MCO,33,795,378
JFK,BWI,35,773,486
BOS,PIT,40,654,153
BWI,EWR,31,677,423
DCA,PIT,39,579,456
MCO,SEA,33,764,182
SFO,PHL,40,686,185
SFO,LAX,31,699,463
BWI,JFK,35,959,307
PHX,SEA,31,760,133
SEA,PHX,31,526,179
BWI,SFO,34,810,280
MIA,MIA,31,577,447
SEA,PHL,40,676,316
