621,59,B864,LAS,BOS,2196,724,--TWT-S
620,52,L356,DFW,PIT,1141,1337,SMTWT--
542,54,B294,LAS,SEA,1066,958,SMT-TF-
543,60,B309,SEA,ATL,1818,177,--TWTFS
540,59,B864,MCO,SEA,1111,890,S-TWT-S
541,54,B294,MCO,LAS,1107,2012,SMTWTFS
546,55,E546,ATL,SEA,203,1435,SMT-TFS
547,60,E511,ATL,DEN,674,1691,S--WTF-
544,60,B309,SEA,DEN,1332,1364,SMT-TFS
545,60,L029,DEN,ATL,671,656,SMT--FS
548,60,B309,DEN,SEA,515,1686,-MT-TFS
549,54,B294,EWR,PHL,685,1663,SM-WT-S
629,53,A941,DEN,LGA,411,2005,SMT-TFS
628,53,L242,FLL,DEN,2237,2014,-MTWTFS
537,54,B294,SEA,MCO,1495,90,SM-WTFS
536,51,A977,JFK,DFW,122,905,SM-W--S
535,51,L634,IAH,JFK,1637,963,S-TW-F-
534,60,B309,IAH,DFW,1639,2314,----T-S
533,51,L754,JFK,IAH,709,619,SMTW--S
532,51,A860,DFW,JFK,1284,220,SMTWTF-
531,51,A977,DFW,IAH,922,2248,SMTWTFS
539,54,B294,LAS,MCO,803,2024,SM--TFS
538,54,B294,SEA,LAS,1587,1641,-M-W-FS
591,51,L634,ORD,PHX,251,913,SMTWTF-
590,56,B780,LAX,BWI,682,450,SMTWT-S
593,51,L754,BOS,PHX,2358,2195,S-TWTFS
592,51,L754,ORD,BOS,1518,707,SMTWTFS
595,51,L634,PHX,BOS,414,1863,-M-WTFS
594,60,L243,PHX,ORD,2232,2159,SMT-T--
597,53,L242,BWI,FLL,1398,1929,--TW-FS
596,51,A860,BOS,ORD,432,1698,SM-WTFS
599,53,L242,EWR,FLL,35,844,-M-WTFS
598,53,A315,BWI,EWR,2325,897,SMTWTFS
586,56,B780,BWI,LAX,1309,1761,--TWTFS
587,56,B780,LAX,FLL,2013,1091,SMTWT-S
584,60,L243,MCO,ORD,1326,792,S-TWTFS
585,56,B780,BWI,FLL,162,2064,-M-W-F-
582,55,E546,DCA,ORD,1207,1468,S-T--FS
583,60,B309,DCA,MCO,738,888,-M-W-F-
580,60,B309,ORD,MCO,1359,984,-MTWTFS
581,60,E511,MCO,DCA,1755,1404,-MTWTFS
588,57,B094,FLL,BWI,656,637,-M-W-FS
589,56,B780,FLL,LAX,366,2049,-MTWTFS
630,53,L242,LGA,FLL,864,2077,SMTWTFS
623,59,L152,SEA,BOS,892,1700,SM-W-F-
622,59,A613,LAS,SEA,1175,2260,-M-WT-S
579,60,B309,ORD,DCA,844,1856,--T--F-
578,60,L243,BWI,MCO,478,564,-MTWTFS
627,53,A941,FLL,LGA,946,1860,--TWTFS
626,59,B864,SEA,LAS,1032,720,S-TWTFS
625,59,A613,BOS,SEA,1254,2209,SMTWTFS
624,58,L343,BOS,LAS,465,655,S-T--FS
573,60,L029,MCO,ORD,1022,2306,-M-WT--
572,57,B094,DTW,LAX,943,1291,SMT-TF-
571,57,B094,SEA,DTW,730,1851,S-TW-F-
570,53,L242,SEA,LAX,770,1783,-MTWT-S
577,60,E511,ORD,BWI,2054,833,S-TWTFS
576,51,L634,ORD,MCO,1007,462,SMTW-FS
575,60,L243,BWI,ORD,2333,2281,-MTWT-S
574,60,E511,MCO,BWI,173,2334,SM-W-FS
