'L021','Lockheed',103,to_date('02-25-2004', 'MM-DD-YYYY'),1946,15
'A487','Airbus',161,to_date('06-14-2005', 'MM-DD-YYYY'),2008,11
'L036','Lockheed',168,to_date('10-18-2002', 'MM-DD-YYYY'),1924,18
'E797','Embraer',65,to_date('04-07-2009', 'MM-DD-YYYY'),1961,18
'B631','Boeing',192,to_date('11-23-2008', 'MM-DD-YYYY'),2012,12
'B556','Boeing',155,to_date('01-19-2016', 'MM-DD-YYYY'),1976,18
'B967','Boeing',61,to_date('02-12-2011', 'MM-DD-YYYY'),1932,15
'E025','Embraer',114,to_date('11-24-2010', 'MM-DD-YYYY'),1957,17
'B115','Boeing',90,to_date('10-26-2002', 'MM-DD-YYYY'),1991,15
'L177','Lockheed',42,to_date('12-11-2000', 'MM-DD-YYYY'),1972,16
'L261','Lockheed',77,to_date('03-09-2007', 'MM-DD-YYYY'),2000,16
'L510','Lockheed',140,to_date('09-30-2010', 'MM-DD-YYYY'),1983,14
'A982','Airbus',160,to_date('04-18-2006', 'MM-DD-YYYY'),1963,14
'L799','Lockheed',167,to_date('08-01-2015', 'MM-DD-YYYY'),2005,19
'B119','Boeing',25,to_date('03-07-2010', 'MM-DD-YYYY'),1978,16
'B492','Boeing',170,to_date('01-09-2015', 'MM-DD-YYYY'),1910,20
'L237','Lockheed',125,to_date('02-03-2015', 'MM-DD-YYYY'),1991,13
'E214','Embraer',96,to_date('12-11-2010', 'MM-DD-YYYY'),1940,11
'E939','Embraer',200,to_date('03-27-2015', 'MM-DD-YYYY'),1922,19
'E548','Embraer',138,to_date('01-23-2015', 'MM-DD-YYYY'),1940,20
'L956','Lockheed',153,to_date('10-28-2014', 'MM-DD-YYYY'),1915,11
'E622','Embraer',93,to_date('10-29-2014', 'MM-DD-YYYY'),1906,20
'B336','Boeing',199,to_date('05-12-2004', 'MM-DD-YYYY'),1902,12
'B029','Boeing',58,to_date('02-28-2007', 'MM-DD-YYYY'),2008,17
'E122','Embraer',80,to_date('04-30-2010', 'MM-DD-YYYY'),1900,12
'L095','Lockheed',28,to_date('10-27-2009', 'MM-DD-YYYY'),1913,13
'A748','Airbus',97,to_date('08-08-2014', 'MM-DD-YYYY'),1912,18
'A669','Airbus',132,to_date('01-12-2000', 'MM-DD-YYYY'),1913,20
'L965','Lockheed',166,to_date('04-28-2005', 'MM-DD-YYYY'),1988,18
'B938','Boeing',117,to_date('04-20-2005', 'MM-DD-YYYY'),1918,16
