L809,Lockheed,111,04/26/2000,1946,62
L142,Lockheed,103,08/13/2001,1907,67
L209,Lockheed,183,10/18/2010,1970,65
E781,Embraer,93,09/29/2002,1934,61
L222,Lockheed,19,11/28/2000,1970,68
E727,Embraer,76,02/13/2013,1913,63
B010,Boeing,21,08/10/2012,1955,69
B026,Boeing,63,08/06/2010,1963,66
B039,Boeing,183,01/14/2009,1960,67
B629,Boeing,133,06/15/2008,1981,63
A075,Airbus,31,01/16/2004,1996,66
L590,Lockheed,16,06/17/2010,2006,66
E128,Embraer,141,02/03/2013,2006,62
L447,Lockheed,110,05/13/2000,1902,65
B863,Boeing,12,06/11/2000,1960,63
E516,Embraer,142,11/29/2011,2010,66
L284,Lockheed,146,07/06/2001,1988,68
B592,Boeing,169,08/07/2011,1964,62
L329,Lockheed,90,05/25/2015,2001,62
B514,Boeing,99,11/21/2008,1986,67
B675,Boeing,27,04/03/2005,1932,70
E806,Embraer,150,07/22/2000,2011,67
B213,Boeing,151,10/22/2002,1936,61
A957,Airbus,191,12/29/2001,1942,65
E797,Embraer,109,07/23/2005,1980,70
L288,Lockheed,39,07/28/2006,1934,70
A727,Airbus,129,06/23/2002,1940,65
A772,Airbus,82,02/26/2008,1952,65
L835,Lockheed,41,01/02/2001,1980,63
E794,Embraer,126,08/22/2015,1983,68
