'58','6','E587','LGA','MCO',1339,1208,'-MT-T-S'
'21','8','B140','DCA','ATL',898,877,'S-T-TFS'
'35','6','B018','LGA','LAS',541,1217,'SMTWTF-'
'10','5','B107','SFO','EWR',918,2356,'---WTFS'
'84','4','A666','EWR','ORD',528,97,'-M-WT-S'
'66','3','A156','IAH','ORD',1984,1320,'SMTWTFS'
'104','3','A156','SFO','MCO',8,991,'-MTWTFS'
'50','1','L768','MSP','MIA',1308,1833,'SMTWTFS'
'99','9','B922','DEN','MCO',1192,317,'SMT-TF-'
'74','6','E587','DFW','MCO',77,2153,'SMTW--S'
'3','8','B140','SFO','FLL',849,1114,'SM-WTFS'
'46','5','B107','SFO','ATL',2098,371,'SM---FS'
'18','4','A666','DEN','LAS',1368,789,'SMTWTF-'
'45','2','E950','BOS','SFO',691,1042,'---WTF-'
'32','6','E587','DFW','LAS',1871,1477,'SM-WTFS'
'105','3','E816','MCO','BWI',1421,1432,'SM-WT-S'
'59','8','B140','LGA','PHL',2042,185,'SMTWTFS'
'61','3','E689','ORD','FLL',1087,509,'-MTWTFS'
'20','8','B140','PIT','DCA',1931,912,'SMT--FS'
'11','3','E816','SFO','JFK',1656,892,'SM-WT--'
'83','4','A666','LGA','EWR',2042,1197,'SMTWTFS'
'92','5','B180','CLT','IAH',227,847,'S-TWTFS'
'29','5','B107','EWR','JFK',1738,2160,'S-TW--S'
'51','1','B181','MIA','EWR',575,1767,'SMTWT-S'
'2','8','B140','BOS','SFO',1134,171,'SMTWT-S'
'69','3','L903','SFO','ATL',1970,473,'S-TW-FS'
'106','9','L304','BWI','SFO',943,2193,'S-TWTFS'
'75','6','B018','MCO','IAH',2350,705,'SMTWTFS'
'19','8','B140','PIT','ATL',2277,561,'--TWT-S'
'33','6','E587','LAS','LGA',724,2285,'S--WTF-'
'44','2','E950','ATL','BOS',1860,1022,'SMTWTFS'
'60','8','A453','PHL','MCO',2213,789,'SMTW-F-'
'101','9','L304','MCO','DEN',1768,260,'SM-WTFS'
'23','8','A453','ATL','DCA',1967,1558,'SM-W-FS'
'94','6','E587','BOS','CLT',1881,1569,'S-TWT--'
'12','3','E816','JFK','EWR',1822,2075,'SM-W-FS'
'82','5','A328','LGA','ORD',1105,546,'SMT-TFS'
'5','8','A453','FLL','SFO',337,263,'-MTWTFS'
'93','5','B180','IAH','BOS',416,1240,'SM-WTFS'
'68','3','A156','PHX','SFO',253,757,'S---TFS'
'52','8','B140','EWR','MSP',83,92,'S-TWTFS'
'72','3','A156','SFO','PHX',720,891,'SMTWTFS'
'30','5','L893','JFK','SEA',759,831,'SMT-TFS'
'63','3','E816','IAH','FLL',1563,543,'-MT----'
'95','5','B180','BOS','IAH',1817,423,'SMT--FS'
'22','3','E816','ATL','PIT',2193,1118,'S---TF-'
'38','1','A150','DCA','IAH',554,99,'SM-WTF-'
'13','4','A452','LAS','DTW',1620,1941,'SMT-TFS'
'4','4','E347','FLL','BOS',1075,1598,'SMT-TFS'
'107','3','E816','BWI','MCO',1039,1389,'SMTWTF-'
'43','2','E950','ATL','SFO',2279,926,'S-TWTFS'
'53','1','A150','EWR','MIA',268,1509,'-MTWT-S'
'73','6','B018','DFW','IAH',1656,1902,'S-T-TFS'
'70','1','B450','ATL','PHX',402,1678,'SMTWTFS'
'25','5','A328','SEA','EWR',91,2138,'SM--T-S'
'108','3','A156','MCO','SFO',1100,1342,'S--W-FS'
'31','6','E587','DFW','LGA',785,967,'SMTWT--'
'14','4','E694','LAS','DEN',2312,103,'SM---F-'
'62','3','E689','ORD','IAH',2052,1355,'SM--TFS'
'96','5','B180','IAH','CLT',547,679,'S-TWT--'
'78','6','B018','MCO','DFW',1697,1350,'SMT-TFS'
'81','4','E347','EWR','LGA',504,493,'--TWTFS'
'7','3','E816','EWR','SFO',1544,1222,'S-T-TFS'
