'DFW','SEA','83',814,334
'PIT','MIA','87',831,475
'CLT','SFO','85',513,187
'LGA','LAX','87',958,325
'DTW','SEA','89',821,395
'SEA','DFW','87',869,133
'ORD','PHL','89',759,257
'SFO','PHL','85',954,178
'LAX','LGA','85',504,363
'BOS','LAX','87',821,241
'MCO','JFK','87',704,255
'DCA','IAH','90',715,199
'MSP','SEA','83',739,196
'SFO','PIT','86',698,111
'LAS','DFW','83',772,471
'MCO','DCA','90',631,240
'PHL','SEA','89',553,378
'BOS','PIT','87',807,231
'BWI','DTW','84',959,155
'LAS','IAH','83',766,275
'DTW','DFW','87',591,452
'DFW','LAS','83',697,116
'MIA','PIT','83',920,269
'JFK','PHL','85',578,338
'SFO','CLT','85',682,158
'PIT','SFO','86',893,352
'IAH','LAS','83',924,132
'PHL','JFK','85',819,269
'PHL','ORD','85',925,430
'SEA','MCO','87',560,391
'CLT','PHL','88',862,356
'PIT','PHX','88',994,389
'JFK','SEA','87',689,242
'DFW','IAH','83',654,162
'IAH','MCO','90',693,165
'SEA','PHL','89',711,155
'SEA','DTW','89',693,149
'MSP','SFO','83',514,112
'LGA','BOS','87',708,441
'SFO','MSP','83',789,120
'SEA','JFK','87',915,276
'LAS','FLL','85',755,123
'DEN','LAX','81',871,441
'ATL','FLL','85',618,465
'PHX','PIT','88',855,244
'SEA','IAH','83',673,257
'MIA','SFO','83',729,177
'ATL','LAS','85',818,495
'BOS','MIA','87',754,164
'LAS','PHX','83',888,131
'CLT','LAS','84',719,334
'LAS','CLT','84',932,114
'DEN','SFO','86',625,269
'PIT','BOS','87',752,422
'IAH','DFW','84',615,318
'BOS','LGA','87',667,295
'IAH','PHX','86',534,290
'DEN','FLL','85',789,228
'DTW','PHL','88',943,345
'DTW','BWI','89',696,245
'PHL','SFO','85',539,172
'SEA','MSP','83',800,377
'MIA','MSP','85',692,446
'LAX','DEN','81',613,207
'LAX','BOS','87',634,110
'ORD','JFK','85',628,197
'PHX','CLT','84',505,361
'FLL','ATL','85',855,409
'PHL','CLT','85',930,130
'PHX','LAS','84',566,275
'IAH','SEA','83',615,265
'LAS','DEN','85',619,415
'FLL','DEN','85',534,298
'JFK','ORD','85',765,160
'DFW','DTW','87',782,264
'IAH','DCA','90',706,323
'ATL','DTW','84',933,258
'BWI','ATL','84',783,421
'DEN','PIT','86',952,132
'LAS','ATL','85',800,409
'PIT','DEN','86',959,304
'CLT','PHX','84',803,261
'SFO','DEN','81',971,204
'SFO','MIA','83',721,250
'DTW','ATL','84',921,228
'MCO','SEA','87',619,468
'MIA','BOS','87',713,215
'PHX','IAH','88',615,437
'ATL','BWI','84',600,122
'PIT','IAH','88',570,477
'JFK','MCO','87',516,157
'LAX','DCA','81',575,472
'DCA','DEN','81',820,292
'PHL','DTW','89',643,395
'MSP','MIA','83',980,280
'MSP','IAH','83',564,415
'DEN','DCA','81',979,306
'DCA','MCO','90',922,228
'IAH','MSP','83',882,353
'IAH','PIT','88',628,363
'MCO','IAH','81',725,101
'FLL','LAS','85',638,400
'DCA','LAX','89',669,285
'DEN','LAS','85',743,224
