LAX,SEA,18,829,117
DEN,SEA,13,800,146
FLL,SEA,18,776,354
SFO,BOS,12,522,181
ATL,FLL,18,1000,397
SEA,MIA,14,579,299
LGA,EWR,17,935,369
LAX,SFO,16,668,477
SFO,DCA,16,906,269
DCA,EWR,11,861,209
MSP,LAX,18,617,289
LAS,MSP,20,843,426
LGA,JFK,18,704,302
ATL,DEN,13,965,100
PIT,BWI,17,752,144
ORD,EWR,13,753,355
MCO,LAX,15,795,107
DFW,PHL,20,943,275
SEA,DCA,17,639,103
MSP,ATL,13,731,151
EWR,DCA,11,577,390
PHL,SEA,11,529,489
ATL,DTW,13,541,404
SEA,FLL,18,617,347
SEA,LAX,11,967,360
MCO,MIA,13,735,176
JFK,CLT,13,984,258
DTW,MSP,13,976,293
IAH,FLL,18,515,472
SEA,DEN,13,514,240
JFK,EWR,17,724,256
DTW,MIA,13,545,313
ATL,MSP,13,818,439
SEA,DFW,11,704,413
BWI,PIT,18,505,230
EWR,LGA,17,708,463
MCO,DCA,15,904,324
DCA,MCO,15,903,326
EWR,JFK,17,666,441
SFO,EWR,12,947,292
LAX,DCA,11,521,359
BOS,EWR,17,960,370
DFW,PIT,17,874,205
DTW,PHX,18,528,246
BOS,SFO,12,550,347
DTW,ATL,13,813,452
SEA,IAH,18,697,269
BOS,SEA,14,962,315
CLT,JFK,11,602,423
SEA,BWI,17,882,156
MIA,MCO,13,569,259
MSP,DTW,13,596,426
MSP,PHL,20,655,252
BWI,DCA,17,741,456
DCA,SEA,17,760,426
DFW,BWI,17,972,171
MIA,JFK,11,790,195
PHL,LAS,20,948,341
MIA,DTW,13,741,256
DCA,ORD,11,507,439
MSP,SEA,18,701,447
JFK,MIA,11,550,232
LAS,PHL,20,966,316
PIT,DFW,17,599,200
LAX,MCO,15,596,365
DEN,ATL,13,983,437
EWR,SFO,12,863,394
JFK,LGA,17,745,145
PHL,DFW,11,923,199
IAH,SEA,19,728,439
ATL,SEA,18,502,388
DCA,SFO,16,580,188
EWR,ORD,11,716,180
BOS,MIA,14,512,259
SEA,MSP,18,884,337
MIA,PHX,13,694,212
FLL,IAH,18,671,164
SEA,BOS,18,540,321
BWI,SEA,11,720,497
EWR,BOS,12,973,327
PHL,MSP,20,701,417
DCA,BWI,17,925,333
DCA,LAX,15,897,321
MIA,SEA,14,918,426
DFW,SEA,11,591,166
ORD,DCA,11,706,223
PHX,DTW,13,558,198
MSP,LAS,13,684,249
FLL,ATL,18,815,231
BWI,DFW,17,663,159
CLT,MIA,11,793,311
MIA,BOS,14,578,474
SFO,LAX,14,943,347
LAX,MSP,18,520,147
SEA,ATL,18,690,390
PHX,MIA,13,912,112
MIA,CLT,11,802,186
MIA,MIA,13,887,232
SEA,PHL,11,987,207
