A977,Airbus,56,11-03-2000,1942,51
B574,Boeing,123,06-04-2011,1912,58
B309,Boeing,45,08-02-2016,1939,60
A860,Airbus,188,10-20-2002,1959,51
E511,Embraer,89,05-11-2000,1994,60
A116,Airbus,49,01-22-2014,1995,55
B864,Boeing,112,05-08-2004,1945,59
A613,Airbus,168,04-14-2006,2000,59
B980,Boeing,45,10-15-2003,1923,52
B094,Boeing,87,02-18-2016,1965,57
E546,Embraer,132,02-24-2009,1988,55
B638,Boeing,159,09-23-2003,1925,55
L343,Lockheed,200,08-20-2004,1931,58
E329,Embraer,185,04-02-2002,1988,52
A315,Airbus,19,07-26-2011,2012,53
L029,Lockheed,36,01-02-2008,1953,60
A941,Airbus,87,04-16-2011,1946,53
A484,Airbus,77,11-14-2012,2015,55
B780,Boeing,34,10-11-2003,1973,56
E369,Embraer,82,04-16-2001,1991,58
L242,Lockheed,116,10-08-2003,1985,53
L634,Lockheed,50,02-11-2009,1942,51
L356,Lockheed,35,03-01-2012,1977,52
B294,Boeing,84,07-03-2014,1991,54
L152,Lockheed,189,04-26-2014,1905,59
A087,Airbus,160,04-10-2014,1958,55
L754,Lockheed,162,02-16-2005,2016,51
A642,Airbus,59,06-17-2003,1967,59
E051,Embraer,52,08-30-2011,1940,52
L243,Lockheed,160,02-17-2016,1950,60
