'58','7','L320','ATL','EWR',181,2260,'S--WTFS'
'21','6','L050','PHL','EWR',1229,132,'S---TFS'
'35','7','A231','SEA','LGA',1260,1142,'-MT-TFS'
'10','4','A548','CLT','FLL',690,1292,'S-T-TFS'
'84','10','B655','PHX','MCO',365,744,'-MT-T-S'
'66','7','E029','SEA','BWI',2151,858,'SMTWTF-'
'104','1','L201','ATL','SFO',1951,336,'SM-WTF-'
'50','6','L958','DCA','MSP',1358,1893,'-M-WT--'
'99','2','A462','PIT','DCA',899,2045,'SMTWTFS'
'74','10','B655','CLT','DEN',363,1990,'SMTW--S'
'3','8','B590','CLT','LGA',422,1312,'SM-WT--'
'46','8','L710','MSP','PHL',1681,907,'-MTWT-S'
'18','2','A462','ORD','LAX',1877,2088,'-M-WTFS'
'45','2','E600','SFO','MSP',694,2140,'SMTWT--'
'32','7','L654','BOS','LGA',569,942,'-MTWTF-'
'105','1','E014','SFO','MSP',1362,75,'SMT-TF-'
'59','6','L050','ATL','DFW',1225,234,'SMTW-F-'
'61','7','L654','BWI','CLT',1428,2164,'SMTWTFS'
'20','6','L958','LGA','PHL',1063,1558,'-MTWT-S'
'11','6','L050','CLT','ORD',1115,486,'-M-WT-S'
'83','10','B655','DEN','PHX',1643,1058,'SMTWTFS'
'92','3','L061','DTW','BWI',781,49,'SMTWTF-'
'29','1','L280','ORD','SFO',1873,1096,'SMTWTFS'
'51','6','L050','MSP','LAS',647,859,'SMTW-F-'
'2','8','E595','DTW','CLT',499,791,'-MTW-FS'
'69','7','A636','DEN','IAH',38,1156,'-M-WTFS'
'106','1','L160','MSP','ATL',2340,1972,'S-TWT--'
'75','10','B655','DEN','EWR',2359,1864,'---W-FS'
'19','6','L958','LGA','EWR',1507,265,'SMT-TFS'
'33','7','L320','LGA','SEA',1511,317,'S-T-TFS'
'44','2','B740','PHL','SFO',1757,848,'SMTW-F-'
'60','6','L958','DFW','EWR',2075,972,'--T--FS'
'101','2','L715','DCA','PIT',1336,51,'SMTWTFS'
'23','6','L958','EWR','PHL',1872,2217,'S-T-TFS'
'94','8','B590','IAH','DTW',364,1716,'S-TWTFS'
'12','6','L050','ORD','FLL',1868,2225,'-MTWT-S'
'82','7','A949','DEN','MCO',947,466,'SMT-TFS'
'5','8','L710','LGA','CLT',873,978,'S-TW--S'
'93','3','B583','BWI','IAH',637,532,'S----F-'
'68','7','A231','LGA','DEN',528,671,'S-TWTFS'
'52','9','A084','LAS','DCA',2167,1830,'S--WTFS'
'72','7','A636','DEN','LGA',1999,1419,'SMT--FS'
'30','1','L160','SFO','LGA',1678,1877,'SMTWTFS'
'63','7','E029','SEA','CLT',844,526,'SMTWT--'
'95','3','L061','IAH','BWI',1871,1456,'-MT-TF-'
'22','8','L710','EWR','LGA',847,144,'S-TW-F-'
'38','3','L061','EWR','BOS',892,571,'SM-W-F-'
'13','2','A462','LAX','MCO',1243,1963,'-MTWTFS'
'4','9','A084','LGA','DTW',1241,1863,'SMTWTFS'
'107','1','L201','MSP','SFO',2036,2056,'SMT---S'
'43','2','B362','PHL','MSP',1867,1107,'SMTW-FS'
'53','6','L958','LAS','MSP',509,2229,'-MTWT--'
'73','10','B655','CLT','EWR',1354,1984,'-M-WTFS'
'70','7','E029','IAH','LGA',2343,295,'SM-WTFS'
'25','1','L160','LGA','ORD',1111,1853,'SMT-TFS'
'108','1','L280','SFO','ATL',1526,579,'SM----S'
'31','7','E029','BOS','SEA',197,798,'--TWTF-'
'14','2','B740','LAX','ORD',1941,1905,'S-TW-FS'
