B158,Boeing,200,07-29-2013,1909,98
L558,Lockheed,36,06-16-2013,1972,95
E093,Embraer,41,08-21-2007,1974,91
E816,Embraer,73,06-30-2003,2009,94
B623,Boeing,175,03-18-2008,1983,95
E980,Embraer,163,08-06-2013,1902,95
L428,Lockheed,75,03-14-2007,1934,92
E862,Embraer,86,01-27-2005,1903,99
B986,Boeing,69,06-13-2005,1986,93
E493,Embraer,99,09-15-2011,1912,98
B231,Boeing,157,09-23-2000,1989,92
A913,Airbus,180,10-06-2014,1967,96
B929,Boeing,165,06-01-2005,1950,93
B943,Boeing,64,08-18-2002,1918,95
A902,Airbus,16,08-04-2011,1908,95
E426,Embraer,93,10-13-2002,1992,95
E636,Embraer,133,07-26-2013,1976,91
A931,Airbus,36,05-26-2000,1908,92
L509,Lockheed,73,08-01-2003,1964,94
L104,Lockheed,25,12-07-2009,1901,97
E868,Embraer,115,02-02-2001,1964,96
E510,Embraer,77,05-25-2010,2013,100
A308,Airbus,117,11-11-2006,2008,96
A018,Airbus,169,05-06-2009,1992,95
L937,Lockheed,85,09-07-2013,1913,96
E179,Embraer,162,04-29-2000,1914,91
A982,Airbus,91,07-14-2012,2005,98
L569,Lockheed,37,02-18-2010,2010,92
B097,Boeing,63,04-12-2006,1996,98
L925,Lockheed,173,07-11-2001,1916,96
