L586,Lockheed,103,11/05/2012,1979,83
B892,Boeing,114,11/28/2012,1958,82
E730,Embraer,115,05/11/2010,1940,82
E460,Embraer,154,07/01/2016,1988,81
A814,Airbus,52,09/15/2007,1992,84
L048,Lockheed,194,10/01/2000,1990,85
L733,Lockheed,158,09/13/2011,1961,88
L338,Lockheed,152,02/01/2013,2001,82
A090,Airbus,111,04/15/2005,2011,86
L844,Lockheed,47,03/17/2014,1954,81
L123,Lockheed,189,02/18/2004,1999,88
L406,Lockheed,41,07/14/2005,1906,89
L488,Lockheed,54,04/02/2003,1982,82
B173,Boeing,11,05/03/2016,1969,82
L361,Lockheed,189,02/13/2004,1995,90
E898,Embraer,115,01/20/2010,2008,81
E859,Embraer,28,04/10/2010,1906,84
A606,Airbus,122,12/02/2007,2013,85
B534,Boeing,147,12/14/2014,1939,87
A930,Airbus,150,05/24/2002,1929,84
L748,Lockheed,24,05/08/2012,1926,83
L619,Lockheed,118,10/26/2002,1997,82
B797,Boeing,133,11/06/2002,2008,83
E458,Embraer,101,12/01/2016,1935,88
B385,Boeing,57,04/02/2007,1947,83
L006,Lockheed,48,08/15/2011,1906,86
L562,Lockheed,143,03/05/2009,1917,82
E983,Embraer,145,02/01/2007,1935,89
A625,Airbus,77,05/03/2006,1918,83
L245,Lockheed,144,07/18/2000,1961,85
