669,66,B026,MCO,MCO,1399,1745,SM-WTFS
668,66,E516,IAH,MCO,721,1021,-MTWTFS
667,66,B026,IAH,MCO,910,1624,S-TWTFS
666,67,E806,EWR,IAH,1690,2112,SMTWTFS
665,67,E806,DFW,EWR,368,1818,-MTWT-S
664,66,A075,DFW,IAH,1715,111,S-TWTFS
663,67,B039,EWR,DFW,677,1207,SMTWTF-
662,67,B039,IAH,EWR,1494,67,S-TW-FS
661,67,B514,IAH,DFW,1089,1323,--TWTFS
660,67,E806,IAH,PHX,651,908,SMTWTFS
692,62,L809,DFW,MSP,2001,178,SMT-TFS
693,62,L329,MSP,MSP,673,2346,SMTWTFS
690,62,B592,LAX,EWR,2320,1512,SMT-TFS
691,62,B592,DFW,MSP,1046,846,SMTWTFS
696,62,B592,MSP,DFW,2323,65,SMT-TF-
697,66,E516,DTW,BWI,456,1513,SMTWT-S
694,65,A727,MSP,DFW,2189,1165,-MTWT-S
695,62,L809,MSP,MSP,1496,2093,S-TWTFS
698,66,B026,DTW,MCO,510,2164,SMT-TFS
699,66,E516,MCO,BWI,299,820,SMTWTFS
678,66,A075,ATL,PHL,1517,413,SMTWT-S
679,70,L288,MSP,LAX,1681,573,-MTWTFS
719,70,B675,PHX,PHL,614,1867,SM-WTFS
718,68,L222,PHX,BOS,1375,2257,SM---FS
674,66,A075,PHL,ATL,1167,1649,-M-WTFS
675,66,A075,ATL,MIA,2216,1421,SM---FS
715,70,L288,BOS,PHX,1863,2201,SMTWTFS
714,66,B026,DFW,PHX,675,2115,SMTWTF-
670,68,L222,MCO,IAH,483,249,-MTW-FS
712,66,L590,DTW,PHX,199,1071,SMTWTF-
672,66,L590,MCO,IAH,715,744,--T-TFS
710,66,A075,PHX,DFW,1400,2232,S-T-TFS
734,65,A772,IAH,DEN,1922,1609,SMTWTF-
708,65,A727,DFW,PIT,1323,1853,SMTWT-S
709,66,L590,PHX,DTW,292,308,S--WTFS
704,65,A727,PIT,DFW,1451,2064,S-TWT-S
705,65,A772,DFW,LGA,1175,407,SMTWTFS
706,65,A772,LGA,PIT,2351,1723,SM-W-F-
707,65,A957,LGA,DFW,720,1584,SMT-TF-
700,65,L447,BWI,DTW,1808,973,SMTWTFS
701,66,B026,BWI,MCO,209,1032,--TW-FS
702,66,B026,MCO,DTW,1331,2105,-MT--FS
703,65,L447,PIT,LGA,498,1789,-MT-T-S
641,65,A772,JFK,MIA,503,488,S-TWTFS
640,66,B026,JFK,BOS,929,2266,-M-W---
643,63,L835,IAH,FLL,1327,1762,S-T-TFS
642,65,A727,MIA,BOS,168,2155,SM-WT-S
645,63,B629,PIT,FLL,605,663,-M--TFS
644,63,B629,IAH,PIT,92,2335,SMTW-FS
647,63,B629,FLL,PIT,1669,43,S-T-TFS
646,70,B675,FLL,IAH,438,1768,SMT-TFS
649,65,A727,SFO,FLL,896,2196,SM-W--S
648,63,B863,PIT,IAH,165,1186,--TWTF-
731,70,B675,DFW,PHX,1832,1414,SM-WTFS
730,67,L142,DFW,MCO,2342,1087,SMTWT-S
733,65,A957,IAH,DFW,1375,743,SMT-TFS
656,67,L142,PHX,IAH,1799,1391,SM--TFS
657,67,L142,IAH,FLL,363,1340,-MTWTFS
654,65,L209,DTW,SFO,548,113,-M-WTF-
655,67,E806,PHX,FLL,713,353,S-TWTFS
652,68,E794,FLL,SFO,3,2353,-M--T-S
653,65,A957,FLL,DTW,275,233,-MTWT-S
650,65,A957,SFO,DTW,1278,1414,SMT---S
651,65,A727,DTW,FLL,2135,2179,-MTW--S
739,70,B675,DTW,SEA,2338,2249,SMT-T-S
735,65,A957,DEN,DFW,1715,275,S-TWTFS
658,68,E794,FLL,PHX,513,954,SM-WTFS
659,67,B514,FLL,IAH,400,1299,SMT-TF-
737,65,A727,DFW,DEN,89,2160,-MTWTFS
639,65,L447,MIA,JFK,443,203,SMT-T-S
736,62,L809,DFW,IAH,189,1377,--TWTF-
738,65,A772,DEN,IAH,779,1808,SM-WTFS
