'SEA','LAS','63',830,480
'SFO','IAH','62',520,196
'PHL','MIA','68',674,260
'DEN','JFK','68',808,241
'DEN','DTW','65',668,316
'EWR','PHX','64',802,364
'MCO','JFK','65',632,282
'JFK','DFW','63',703,479
'DTW','LAX','65',820,109
'PHL','SEA','68',664,117
'SEA','DTW','65',663,222
'IAH','MIA','65',749,423
'LAS','FLL','65',501,354
'LGA','PIT','69',980,175
'EWR','DEN','66',676,311
'PIT','LGA','69',987,111
'MCO','DFW','63',876,155
'MIA','IAH','62',837,114
'MCO','LGA','61',781,196
'MSP','PIT','69',779,495
'DEN','LAX','64',780,203
'LAS','DEN','66',786,216
'SFO','DCA','67',794,148
'MIA','BWI','66',514,385
'DCA','SFO','67',658,341
'SEA','DEN','61',664,157
'LAS','SEA','63',761,266
'BOS','EWR','66',595,470
'DTW','MSP','65',772,109
'BWI','PHL','66',823,412
'IAH','SFO','62',969,126
'MSP','LAX','65',872,129
'DTW','SEA','65',543,305
'DTW','LAS','63',673,149
'DEN','EWR','66',619,443
'PHX','FLL','66',778,328
'IAH','EWR','67',905,180
'PHL','LGA','61',833,228
'MSP','FLL','66',770,344
'LAX','DFW','64',982,106
'LAS','SFO','67',803,406
'PIT','SEA','68',591,112
'DEN','PIT','68',918,410
'LAX','MSP','65',628,195
'DEN','SFO','67',808,303
'PHL','MCO','61',663,480
'SFO','LAS','67',637,451
'DEN','BWI','67',792,446
'MSP','PHX','66',897,400
'PHL','PIT','64',622,402
'IAH','PHX','64',606,491
'FLL','BWI','61',549,268
'SEA','PHL','68',682,227
'PHX','EWR','64',751,238
'MIA','PHL','66',689,207
'BWI','FLL','65',887,185
'LGA','MSP','69',787,433
'LAS','DCA','67',754,278
'LGA','PHL','61',893,472
'DFW','DEN','64',969,143
'EWR','IAH','64',512,190
'PIT','JFK','68',845,186
'MCO','PHL','61',898,408
'BWI','DEN','67',978,138
'BWI','MIA','66',660,474
'MSP','LGA','69',797,447
'MSP','DTW','69',566,484
'JFK','LAS','66',602,376
'PHL','BWI','66',924,422
'DFW','JFK','63',593,393
'DEN','BOS','68',502,171
'PIT','DEN','68',524,496
'DTW','DEN','65',905,312
'DCA','LAS','66',524,114
'LAS','JFK','66',575,178
'SFO','DEN','67',761,405
'SFO','MIA','62',788,231
'JFK','PIT','68',983,419
'DFW','LAX','65',907,288
'EWR','BOS','66',954,115
'SEA','PIT','68',879,406
'PHX','IAH','64',718,425
'JFK','DEN','68',946,361
'PIT','MSP','69',719,289
'DFW','MCO','63',742,178
'PHX','MSP','66',992,314
'LAX','DEN','64',594,179
'JFK','MCO','63',838,388
'LAS','DTW','69',887,423
'LAS','BWI','65',534,340
'PIT','PHL','68',994,377
'FLL','LAS','65',934,229
'MIA','SFO','62',921,195
'BWI','SFO','67',764,332
'DEN','SEA','65',733,457
'FLL','MSP','64',648,441
'LAX','DTW','65',790,323
'BOS','DEN','66',528,223
'BWI','LAS','65',632,461
'DEN','DFW','64',981,495
'LGA','MCO','64',541,408
'FLL','PHX','66',672,285
'SFO','BWI','67',663,395
'DEN','LAS','66',666,206
