'E689','Embraer',58,to_date('03-22-2015', 'MM-DD-YYYY'),1984,3
'E191','Embraer',50,to_date('09-28-2000', 'MM-DD-YYYY'),1914,10
'L958','Lockheed',124,to_date('11-30-2012', 'MM-DD-YYYY'),1998,7
'A452','Airbus',101,to_date('11-27-2005', 'MM-DD-YYYY'),1938,4
'E694','Embraer',130,to_date('12-16-2013', 'MM-DD-YYYY'),2002,4
'E587','Embraer',145,to_date('04-22-2011', 'MM-DD-YYYY'),1999,6
'L768','Lockheed',141,to_date('02-05-2004', 'MM-DD-YYYY'),1981,1
'E950','Embraer',74,to_date('07-25-2009', 'MM-DD-YYYY'),1997,2
'L304','Lockheed',138,to_date('08-06-2007', 'MM-DD-YYYY'),1925,9
'B180','Boeing',182,to_date('02-11-2014', 'MM-DD-YYYY'),2014,5
'B181','Boeing',150,to_date('10-21-2002', 'MM-DD-YYYY'),1901,1
'A150','Airbus',71,to_date('08-14-2010', 'MM-DD-YYYY'),1902,1
'L081','Lockheed',66,to_date('07-04-2005', 'MM-DD-YYYY'),2005,1
'L783','Lockheed',109,to_date('07-24-2016', 'MM-DD-YYYY'),2011,10
'A156','Airbus',60,to_date('01-04-2008', 'MM-DD-YYYY'),1993,3
'A328','Airbus',78,to_date('10-22-2010', 'MM-DD-YYYY'),1948,5
'B450','Boeing',49,to_date('07-21-2006', 'MM-DD-YYYY'),1931,1
'L893','Lockheed',94,to_date('02-04-2010', 'MM-DD-YYYY'),1917,5
'E347','Embraer',65,to_date('09-19-2016', 'MM-DD-YYYY'),2014,4
'E816','Embraer',190,to_date('01-30-2004', 'MM-DD-YYYY'),1987,3
'L903','Lockheed',102,to_date('04-03-2001', 'MM-DD-YYYY'),1931,3
'B446','Boeing',13,to_date('09-13-2011', 'MM-DD-YYYY'),1931,7
'L151','Lockheed',118,to_date('04-30-2008', 'MM-DD-YYYY'),2005,10
'B140','Boeing',142,to_date('04-09-2011', 'MM-DD-YYYY'),1953,8
'A666','Airbus',72,to_date('08-02-2009', 'MM-DD-YYYY'),1963,4
'A453','Airbus',59,to_date('11-01-2016', 'MM-DD-YYYY'),1932,8
'A571','Airbus',67,to_date('05-02-2002', 'MM-DD-YYYY'),1986,2
'B107','Boeing',180,to_date('09-21-2003', 'MM-DD-YYYY'),1997,5
'B922','Boeing',90,to_date('06-15-2014', 'MM-DD-YYYY'),1935,9
'B018','Boeing',107,to_date('10-22-2013', 'MM-DD-YYYY'),1911,6
