B467,Boeing,167,01-23-2016,2016,41
A887,Airbus,89,10-30-2006,1952,45
L586,Lockheed,118,11-27-2013,1994,46
L840,Lockheed,86,12-22-2002,1972,44
E686,Embraer,63,05-13-2010,1991,47
A648,Airbus,131,10-10-2010,1911,48
A622,Airbus,102,02-28-2000,2014,50
L149,Lockheed,17,09-22-2002,1964,50
B875,Boeing,40,01-29-2015,2001,45
A568,Airbus,129,11-10-2000,1940,44
A011,Airbus,160,04-29-2006,2004,49
B145,Boeing,75,05-19-2009,1914,44
A740,Airbus,99,07-09-2005,1920,43
A714,Airbus,58,09-30-2014,1996,45
L580,Lockheed,109,09-20-2009,1917,50
A630,Airbus,12,05-03-2009,1920,47
E550,Embraer,32,05-07-2004,1945,41
E132,Embraer,112,09-14-2009,1986,45
L495,Lockheed,167,10-07-2004,2010,45
L196,Lockheed,109,06-19-2010,1910,48
A209,Airbus,167,10-05-2000,1936,44
L038,Lockheed,95,06-02-2008,2008,44
L022,Lockheed,122,03-20-2012,1918,48
B526,Boeing,57,02-01-2016,1960,46
A926,Airbus,199,11-18-2011,2001,48
L853,Lockheed,27,06-13-2010,1966,42
L116,Lockheed,11,04-22-2014,2012,45
B078,Boeing,66,02-13-2016,1916,46
B897,Boeing,41,03-20-2007,1997,44
A978,Airbus,105,03-08-2016,1996,50
